BestellungID;KundeID;AllgLieferAdrID;Bestelldatum;Wunschdatum;Rabatt
801;186;757;07.02.2025;09.02.2025;0,5
802;105;764;20.01.2025;27.01.2025;2,5
803;29;799;28.01.2025;02.02.2025;1,5
804;333;56;02.02.2025;07.02.2025;1,0
805;247;822;26.02.2025;01.03.2025;0,0
806;185;395;01.01.2025;07.01.2025;1,5
807;176;327;18.01.2025;19.01.2025;0,0
808;104;242;12.02.2025;17.02.2025;0,0
809;101;428;20.01.2025;26.01.2025;0,0
810;265;288;24.01.2025;29.01.2025;0,5
811;309;636;08.02.2025;10.02.2025;0,0
812;112;469;14.02.2025;17.02.2025;2,5
813;58;469;06.01.2025;07.01.2025;3,0
814;112;634;28.01.2025;03.02.2025;0,5
815;69;176;14.02.2025;20.02.2025;0,5
816;119;510;24.02.2025;26.02.2025;2,0
817;109;158;25.01.2025;29.01.2025;2,0
818;208;727;16.01.2025;17.01.2025;0,0
819;118;814;05.02.2025;10.02.2025;1,0
820;230;116;26.02.2025;04.03.2025;2,5
821;202;364;29.01.2025;31.01.2025;3,0
822;194;597;29.01.2025;05.02.2025;0,0
823;280;683;07.02.2025;13.02.2025;2,0
824;173;680;16.01.2025;21.01.2025;2,5
825;9;182;22.02.2025;22.02.2025;3,0
826;236;444;10.02.2025;12.02.2025;2,5
827;133;661;28.01.2025;01.02.2025;2,5
828;157;78;27.02.2025;02.03.2025;0,5
829;55;465;15.01.2025;18.01.2025;1,0
830;53;531;14.01.2025;18.01.2025;0,0
831;163;501;04.02.2025;04.02.2025;2,0
832;170;200;06.01.2025;13.01.2025;2,5
833;111;721;11.02.2025;15.02.2025;0,5
834;313;459;21.02.2025;25.02.2025;0,5
835;137;899;01.01.2025;07.01.2025;1,0
836;236;52;23.02.2025;01.03.2025;1,5
837;325;883;07.02.2025;12.02.2025;0,0
838;107;574;30.01.2025;31.01.2025;1,5
839;309;697;05.01.2025;11.01.2025;1,5
840;343;14;01.01.2025;07.01.2025;3,0
841;90;430;08.01.2025;14.01.2025;2,5
842;133;376;11.02.2025;12.02.2025;1,5
843;143;768;04.01.2025;08.01.2025;1,5
844;335;890;14.01.2025;15.01.2025;2,5
845;127;370;10.02.2025;13.02.2025;3,0
846;6;763;15.01.2025;22.01.2025;2,0
847;5;245;08.02.2025;12.02.2025;0,0
848;314;186;12.01.2025;19.01.2025;1,5
849;91;693;01.02.2025;07.02.2025;0,5
850;312;815;10.02.2025;13.02.2025;1,5
851;75;710;28.02.2025;07.03.2025;2,5
852;259;869;03.01.2025;08.01.2025;0,5
853;219;848;01.01.2025;02.01.2025;1,0
854;73;696;26.01.2025;29.01.2025;0,0
855;275;316;03.01.2025;05.01.2025;0,0
856;193;267;18.01.2025;25.01.2025;1,0
857;248;86;16.01.2025;19.01.2025;1,0
858;65;16;13.02.2025;15.02.2025;2,0
859;209;885;06.01.2025;10.01.2025;0,5
860;338;477;23.02.2025;23.02.2025;0,0
861;48;27;20.01.2025;22.01.2025;2,0
862;4;364;06.01.2025;10.01.2025;1,0
863;12;417;27.02.2025;04.03.2025;0,5
864;269;268;27.02.2025;01.03.2025;2,5
865;267;663;30.01.2025;30.01.2025;1,5
866;263;186;15.01.2025;15.01.2025;2,0
867;8;198;08.02.2025;09.02.2025;2,0
868;259;373;01.02.2025;02.02.2025;2,5
869;51;449;17.01.2025;19.01.2025;2,5
870;69;93;27.02.2025;28.02.2025;3,0
871;38;651;28.01.2025;30.01.2025;1,0
872;325;73;12.02.2025;17.02.2025;2,5
873;27;237;28.01.2025;30.01.2025;3,0
874;270;789;15.02.2025;15.02.2025;2,5
875;76;707;23.02.2025;02.03.2025;1,0
876;60;816;19.01.2025;24.01.2025;2,0
877;49;39;08.01.2025;11.01.2025;0,0
878;286;646;20.01.2025;22.01.2025;0,5
879;227;124;11.02.2025;11.02.2025;2,5
880;106;854;02.01.2025;06.01.2025;1,5
881;39;392;23.02.2025;23.02.2025;1,5
882;150;198;19.01.2025;21.01.2025;1,5
883;348;700;26.02.2025;03.03.2025;1,5
884;345;498;05.02.2025;12.02.2025;1,5
885;39;620;03.02.2025;05.02.2025;2,0
886;84;34;17.02.2025;20.02.2025;0,5
887;243;26;13.01.2025;13.01.2025;2,5
888;333;883;26.01.2025;30.01.2025;2,0
889;120;314;08.02.2025;14.02.2025;1,5
890;142;205;27.01.2025;31.01.2025;2,0
891;311;397;12.01.2025;18.01.2025;2,5
892;270;304;06.02.2025;06.02.2025;1,0
893;76;675;30.01.2025;01.02.2025;3,0
894;344;694;05.02.2025;09.02.2025;1,0
895;283;114;15.02.2025;21.02.2025;1,5
896;303;98;05.02.2025;05.02.2025;0,5
897;295;314;02.01.2025;02.01.2025;2,0
898;125;704;20.01.2025;27.01.2025;0,5
