BestellungID;PosID;ProduktID;SpezLieferAdrID;Menge;Preis
801;801;51;;8;2,0
802;802;20;;4;8,0
803;803;122;;2;2,0
804;804;84;;2;0,75
805;805;56;;7;7,0
806;806;2;;7;4,0
807;807;69;;7;2,0
808;808;24;;6;3,0
809;809;31;;6;2,0
810;810;102;;6;4,0
811;811;24;;5;3,0
812;812;69;;1;2,0
813;813;54;;1;5,0
814;814;83;;7;0,8
815;815;36;;1;0,5
816;816;22;;1;2,0
817;817;17;;5;3,5
818;818;106;;6;7,0
819;819;60;;3;0,5
820;820;3;;9;5,0
821;821;40;;0;1,0
822;822;87;;4;0,5
823;823;116;;10;3,0
824;824;31;;4;2,0
825;825;55;;7;5,0
826;826;71;;10;4,0
827;827;86;;3;0,5
828;828;15;;10;4,5
829;829;8;;9;8,0
830;830;88;;4;0,5
831;831;33;;6;0,8
832;832;58;;6;8,0
833;833;69;;6;2,0
834;834;114;;4;4,5
835;835;126;;10;4,0
836;836;34;;6;0,75
837;837;28;;4;2,0
838;838;116;;1;3,0
839;839;115;;8;4,5
840;840;35;;2;1,0
841;841;94;;9;4,0
842;842;30;;1;4,0
843;843;13;;5;4,5
844;844;107;;10;8,0
845;845;35;;5;1,0
846;846;90;;10;1,0
847;847;30;;3;4,0
848;848;63;;2;4,5
849;849;43;;0;2,3
850;850;99;;5;3,8
851;851;60;;8;0,5
852;852;12;;5;4,0
853;853;47;;5;9,0
854;854;34;;0;0,75
855;855;112;;6;4,0
856;856;56;;3;7,0
857;857;8;;2;8,0
858;858;96;;3;8,0
859;859;62;;7;4,0
860;860;16;;6;3,0
861;861;21;;1;4,0
862;862;16;;0;3,0
863;863;52;;3;4,0
864;864;74;;2;3,0
865;865;22;;7;2,0
866;866;95;;4;2,0
867;867;84;;4;0,75
868;868;85;;7;1,0
869;869;23;;6;3,0
870;870;32;;8;5,0
871;871;50;;4;5,6
872;872;47;;1;9,0
873;873;108;;3;8,0
874;874;42;;2;2,4
875;875;97;;4;9,0
876;876;115;;1;4,5
877;877;77;;10;2,0
878;878;67;;3;3,5
879;879;29;;2;1,5
880;880;1;;2;2,0
881;881;106;;10;7,0
882;882;7;;5;8,0
883;883;60;;8;0,5
884;884;19;;5;2,0
885;885;102;;5;4,0
886;886;108;;7;8,0
887;887;67;;3;3,5
888;888;5;;4;5,0
889;889;104;;2;5,0
890;890;33;;9;0,8
891;891;52;;10;4,0
892;892;72;;1;2,0
893;893;96;;2;8,0
894;894;55;;8;5,0
895;895;32;;10;5,0
896;896;7;;4;8,0
897;897;14;;3;4,5
898;898;95;;3;2,0
899;899;50;;10;5,6
900;900;11;;9;8,0
901;901;91;;4;1,2
902;902;77;;8;2,0
903;903;96;;3;8,0
904;904;35;;6;1,0
905;905;86;;10;0,5
906;906;26;;7;4,0
907;907;86;;10;0,5
908;908;47;;10;9,0
909;909;97;;5;9,0
910;910;119;;6;2,0
911;911;113;;5;4,5
912;912;77;;10;2,0
913;913;93;;3;2,3
914;914;69;;7;2,0
915;915;2;;1;4,0
916;916;2;;7;4,0
917;917;82;;4;5,0
918;918;100;;7;5,6
919;919;84;;1;0,75
920;920;123;;2;3,0
921;921;48;;10;4,5
922;922;24;;1;3,0
923;923;79;;1;1,5
924;924;78;;10;2,0
925;925;50;;2;5,6
926;926;5;;1;5,0
927;927;10;;0;0,5
928;928;22;;4;2,0
929;929;29;;6;1,5
930;930;61;;2;8,0
931;931;104;;4;5,0
932;932;120;;4;8,0
933;933;34;;7;0,75
934;934;4;;10;5,0
935;935;10;;5;0,5
936;936;65;;9;4,5
937;937;80;;7;4,0
938;938;103;;7;5,0
939;939;74;;4;3,0
940;940;50;;9;5,6
941;941;20;;1;8,0
942;942;108;;8;8,0
943;943;109;;2;3,0
944;944;120;;9;8,0
945;945;97;;6;9,0
946;946;35;;7;1,0
947;947;41;;1;1,2
948;948;100;;5;5,6
949;949;75;;6;7,0
950;950;99;;6;3,8
951;951;12;;9;4,0
952;952;61;;10;8,0
953;953;64;;7;4,5
954;954;80;;2;4,0
955;955;27;;8;2,0
956;956;87;;0;0,5
957;957;112;;3;4,0
958;958;19;;5;2,0
959;959;106;;4;7,0
960;960;45;;6;2,0
961;961;22;;7;2,0
962;962;23;;4;3,0
963;963;77;;7;2,0
964;964;36;;8;0,5
965;965;71;;0;4,0
966;966;69;;8;2,0
967;967;105;;5;5,0
968;968;44;;7;4,0
969;969;100;;3;5,6
970;970;42;;2;2,4
971;971;92;;1;2,4
972;972;10;;9;0,5
973;973;54;;0;5,0
974;974;88;;0;0,5
975;975;32;;7;5,0
976;976;112;;7;4,0
977;977;69;;9;2,0
978;978;117;;5;3,5
979;979;77;;9;2,0
980;980;46;;1;8,0
981;981;98;;5;4,5
982;982;58;;1;8,0
983;983;48;;6;4,5
984;984;26;;8;4,0
985;985;123;;10;3,0
986;986;125;;5;7,0
987;987;66;;7;3,0
988;988;103;;10;5,0
989;989;92;;2;2,4
990;990;82;;9;5,0
991;991;30;;10;4,0
992;992;40;;10;1,0
993;993;78;;1;2,0
994;994;25;;1;7,0
995;995;14;;7;4,5
996;996;35;;7;1,0
997;997;48;;10;4,5
998;998;8;;6;8,0
999;999;62;;2;4,0
1000;1000;14;;0;4,5
1001;1001;17;;0;3,5
