KatID,OberKatID,Name,Rabatt,Von,Bis,Festlegung
G,,Gemüse,3.00,15.01.2025,17.01.2025,02.01.2025
G,,Gemüse,2.00,31.01.2025,14.02.2025,02.01.2025
G,,Gemüse,3.00,15.02.2025,16.02.2025,10.01.2025
GMi,G,Mittelzehrer,3.00,16.01.2025,21.01.2025,02.01.2025
GMi,G,Mittelzehrer,9.00,31.01.2025,15.02.2025,02.01.2025
GMi,G,Mittelzehrer,10.00,16.02.2025,16.02.2025,10.01.2025
GMiAMARANTH ,GMi,Amaranth ,8.00,15.01.2025,27.01.2025,02.01.2025
GMiAMARANTH ,GMi,Amaranth ,9.00,31.01.2025,15.02.2025,10.01.2025
GMiAMARANTH ,GMi,Amaranth ,4.00,16.02.2025,19.02.2025,10.01.2025
GMiBETE ,GMi,Bete ,7.00,15.01.2025,19.01.2025,02.01.2025
GMiBETE ,GMi,Bete ,6.00,31.01.2025,14.02.2025,02.01.2025
GMiBETE ,GMi,Bete ,1.00,15.02.2025,27.02.2025,10.01.2025
GMiCHILI ,GMi,Chili ,8.00,15.01.2025,28.01.2025,02.01.2025
GMiCHILI ,GMi,Chili ,8.00,31.01.2025,14.02.2025,02.01.2025
GMiCHILI ,GMi,Chili ,9.00,15.02.2025,16.02.2025,10.01.2025
GMiFENCHEL ,GMi,Fenchel ,9.00,15.01.2025,25.01.2025,02.01.2025
GMiFENCHEL ,GMi,Fenchel ,9.00,31.01.2025,15.02.2025,20.01.2025
GMiFENCHEL ,GMi,Fenchel ,5.00,16.02.2025,19.02.2025,20.01.2025
GMiKOHLRABI ,GMi,Kohlrabi ,3.00,15.01.2025,22.01.2025,02.01.2025
GMiKOHLRABI ,GMi,Kohlrabi ,5.00,31.01.2025,15.02.2025,20.01.2025
GMiKOHLRABI ,GMi,Kohlrabi ,8.00,16.02.2025,25.02.2025,20.01.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,4.00,15.01.2025,16.01.2025,02.01.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,10.00,31.01.2025,14.02.2025,10.01.2025
GMiLAUCHZWIEBEL ,GMi,Lauchzwiebel ,6.00,15.02.2025,20.02.2025,10.01.2025
GMiMANGOLD ,GMi,Mangold ,4.00,16.01.2025,28.01.2025,02.01.2025
GMiMANGOLD ,GMi,Mangold ,9.00,31.01.2025,14.02.2025,20.01.2025
GMiMANGOLD ,GMi,Mangold ,7.00,15.02.2025,24.02.2025,02.01.2025
GMiMÖHRE ,GMi,Möhre ,6.00,15.01.2025,21.01.2025,02.01.2025
GMiMÖHRE ,GMi,Möhre ,9.00,31.01.2025,15.02.2025,02.01.2025
GMiMÖHRE ,GMi,Möhre ,3.00,16.02.2025,22.02.2025,20.01.2025
GMiPAPRIKA ,GMi,Paprika ,2.00,15.01.2025,31.01.2025,02.01.2025
GMiPAPRIKA ,GMi,Paprika ,4.00,31.01.2025,15.02.2025,02.01.2025
GMiPAPRIKA ,GMi,Paprika ,4.00,16.02.2025,27.02.2025,20.01.2025
GMiPASTINAKE ,GMi,Pastinake ,5.00,15.01.2025,24.01.2025,02.01.2025
GMiPASTINAKE ,GMi,Pastinake ,8.00,31.01.2025,14.02.2025,02.01.2025
GMiPASTINAKE ,GMi,Pastinake ,1.00,15.02.2025,21.02.2025,20.01.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,6.00,16.01.2025,17.01.2025,02.01.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,4.00,31.01.2025,15.02.2025,02.01.2025
GMiPFEFFERONI ,GMi,Pfefferoni ,1.00,16.02.2025,28.02.2025,10.01.2025
GMiRETTICH ,GMi,Rettich ,9.00,15.01.2025,19.01.2025,02.01.2025
GMiRETTICH ,GMi,Rettich ,7.00,31.01.2025,15.02.2025,20.01.2025
GMiRETTICH ,GMi,Rettich ,4.00,16.02.2025,22.02.2025,10.01.2025
GMiSALAT ,GMi,Salat ,4.00,15.01.2025,26.01.2025,02.01.2025
GMiSALAT ,GMi,Salat ,4.00,31.01.2025,14.02.2025,02.01.2025
GMiSALAT ,GMi,Salat ,4.00,15.02.2025,23.02.2025,02.01.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,5.00,15.01.2025,20.01.2025,02.01.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,7.00,31.01.2025,14.02.2025,02.01.2025
GMiSCHWARZWURZEL ,GMi,Schwarzwurzel ,6.00,15.02.2025,28.02.2025,10.01.2025
GMiSPINAT ,GMi,Spinat ,1.00,15.01.2025,22.01.2025,02.01.2025
GMiSPINAT ,GMi,Spinat ,6.00,31.01.2025,14.02.2025,10.01.2025
GMiSPINAT ,GMi,Spinat ,5.00,15.02.2025,19.02.2025,20.01.2025
GSc,G,Schwachzehrer,9.00,15.01.2025,29.01.2025,02.01.2025
GSc,G,Schwachzehrer,6.00,31.01.2025,14.02.2025,10.01.2025
GSc,G,Schwachzehrer,6.00,15.02.2025,18.02.2025,02.01.2025
GScBOHNE ,GSc,Bohne ,6.00,15.01.2025,17.01.2025,02.01.2025
GScBOHNE ,GSc,Bohne ,2.00,31.01.2025,15.02.2025,02.01.2025
GScBOHNE ,GSc,Bohne ,2.00,16.02.2025,24.02.2025,20.01.2025
GScERBSE ,GSc,Erbse ,5.00,16.01.2025,23.01.2025,02.01.2025
GScERBSE ,GSc,Erbse ,10.00,31.01.2025,15.02.2025,20.01.2025
GScERBSE ,GSc,Erbse ,6.00,16.02.2025,21.02.2025,02.01.2025
GScMAIRÜBE ,GSc,Mairübe ,1.00,15.01.2025,31.01.2025,02.01.2025
GScMAIRÜBE ,GSc,Mairübe ,6.00,31.01.2025,15.02.2025,20.01.2025
GScMAIRÜBE ,GSc,Mairübe ,8.00,16.02.2025,23.02.2025,10.01.2025
GScRADIESCHEN ,GSc,Radieschen ,9.00,16.01.2025,18.01.2025,02.01.2025
GScRADIESCHEN ,GSc,Radieschen ,6.00,31.01.2025,15.02.2025,10.01.2025
GScRADIESCHEN ,GSc,Radieschen ,7.00,16.02.2025,26.02.2025,02.01.2025
GScSALAT ,GSc,Salat ,8.00,16.01.2025,20.01.2025,02.01.2025
GScSALAT ,GSc,Salat ,5.00,31.01.2025,15.02.2025,10.01.2025
GScSALAT ,GSc,Salat ,10.00,16.02.2025,26.02.2025,20.01.2025
GSt,G,Starkzehrer,8.00,16.01.2025,28.01.2025,02.01.2025
GSt,G,Starkzehrer,8.00,31.01.2025,15.02.2025,10.01.2025
GSt,G,Starkzehrer,3.00,16.02.2025,19.02.2025,02.01.2025
GStANDENBEERE ,GSt,Andenbeere ,9.00,15.01.2025,21.01.2025,02.01.2025
GStANDENBEERE ,GSt,Andenbeere ,8.00,31.01.2025,14.02.2025,20.01.2025
GStANDENBEERE ,GSt,Andenbeere ,8.00,15.02.2025,16.02.2025,20.01.2025
GStAUBERGINE ,GSt,Aubergine ,4.00,16.01.2025,30.01.2025,02.01.2025
GStAUBERGINE ,GSt,Aubergine ,10.00,31.01.2025,14.02.2025,10.01.2025
GStAUBERGINE ,GSt,Aubergine ,6.00,15.02.2025,17.02.2025,02.01.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,3.00,16.01.2025,30.01.2025,02.01.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,2.00,31.01.2025,14.02.2025,20.01.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,2.00,15.02.2025,21.02.2025,10.01.2025
GStBROKKOLI ,GSt,Brokkoli ,1.00,16.01.2025,24.01.2025,02.01.2025
GStBROKKOLI ,GSt,Brokkoli ,4.00,31.01.2025,14.02.2025,20.01.2025
GStBROKKOLI ,GSt,Brokkoli ,1.00,15.02.2025,17.02.2025,10.01.2025
GStCHINAKOHL ,GSt,Chinakohl ,6.00,15.01.2025,22.01.2025,02.01.2025
GStCHINAKOHL ,GSt,Chinakohl ,1.00,31.01.2025,15.02.2025,02.01.2025
GStCHINAKOHL ,GSt,Chinakohl ,5.00,16.02.2025,22.02.2025,20.01.2025
GStGRÜNKOHL ,GSt,Grünkohl ,8.00,15.01.2025,16.01.2025,02.01.2025
GStGRÜNKOHL ,GSt,Grünkohl ,4.00,31.01.2025,15.02.2025,20.01.2025
GStGRÜNKOHL ,GSt,Grünkohl ,5.00,16.02.2025,28.02.2025,20.01.2025
GStGURKE ,GSt,Gurke ,2.00,15.01.2025,30.01.2025,02.01.2025
GStGURKE ,GSt,Gurke ,3.00,31.01.2025,14.02.2025,20.01.2025
GStGURKE ,GSt,Gurke ,6.00,15.02.2025,27.02.2025,02.01.2025
GStKÜRBIS ,GSt,Kürbis ,1.00,16.01.2025,22.01.2025,02.01.2025
GStKÜRBIS ,GSt,Kürbis ,5.00,31.01.2025,15.02.2025,02.01.2025
GStKÜRBIS ,GSt,Kürbis ,8.00,16.02.2025,23.02.2025,20.01.2025
GStLAUCH ,GSt,Lauch ,8.00,16.01.2025,28.01.2025,02.01.2025
GStLAUCH ,GSt,Lauch ,9.00,31.01.2025,14.02.2025,10.01.2025
GStLAUCH ,GSt,Lauch ,10.00,15.02.2025,24.02.2025,20.01.2025
GStMELONE ,GSt,Melone ,4.00,15.01.2025,31.01.2025,02.01.2025
GStMELONE ,GSt,Melone ,8.00,31.01.2025,14.02.2025,20.01.2025
GStMELONE ,GSt,Melone ,6.00,15.02.2025,17.02.2025,10.01.2025
GStPALMKOHL ,GSt,Palmkohl ,6.00,16.01.2025,18.01.2025,02.01.2025
GStPALMKOHL ,GSt,Palmkohl ,3.00,31.01.2025,14.02.2025,10.01.2025
GStPALMKOHL ,GSt,Palmkohl ,2.00,15.02.2025,28.02.2025,10.01.2025
GStROSENKOHL ,GSt,Rosenkohl ,1.00,15.01.2025,19.01.2025,02.01.2025
GStROSENKOHL ,GSt,Rosenkohl ,7.00,31.01.2025,14.02.2025,02.01.2025
GStROSENKOHL ,GSt,Rosenkohl ,10.00,15.02.2025,23.02.2025,20.01.2025
GStROTKOHL ,GSt,Rotkohl ,1.00,16.01.2025,19.01.2025,02.01.2025
GStROTKOHL ,GSt,Rotkohl ,1.00,31.01.2025,15.02.2025,20.01.2025
GStROTKOHL ,GSt,Rotkohl ,3.00,16.02.2025,26.02.2025,02.01.2025
GStSELLERIE ,GSt,Sellerie ,8.00,16.01.2025,29.01.2025,02.01.2025
GStSELLERIE ,GSt,Sellerie ,2.00,31.01.2025,14.02.2025,02.01.2025
GStSELLERIE ,GSt,Sellerie ,10.00,15.02.2025,25.02.2025,20.01.2025
GStTOMATE ,GSt,Tomate ,1.00,15.01.2025,31.01.2025,02.01.2025
GStTOMATE ,GSt,Tomate ,5.00,31.01.2025,14.02.2025,02.01.2025
GStTOMATE ,GSt,Tomate ,4.00,15.02.2025,16.02.2025,02.01.2025
GStWEIßKOHL ,GSt,Weißkohl ,3.00,16.01.2025,18.01.2025,02.01.2025
