BestellungID;KundeID;AllgLieferAdrID;Bestelldatum;Wunschdatum;Rabatt
3663;41;191;19.01.2025;20.01.2025;1,0
3664;355;920;15.01.2025;17.01.2025;1,0
3665;112;230;19.01.2025;22.01.2025;2,5
3666;171;33;17.01.2025;22.01.2025;1,0
3667;16;140;17.01.2025;19.01.2025;2,5
3668;207;15;19.01.2025;21.01.2025;0,5
3669;301;801;17.01.2025;23.01.2025;1,5
3670;55;90;23.01.2025;25.01.2025;1,5
3671;354;919;30.01.2025;01.02.2025;2,5
3672;195;34;28.01.2025;01.02.2025;3,0
3673;408;973;16.01.2025;22.01.2025;0,0
3674;410;975;22.01.2025;25.01.2025;0,5
3675;172;107;22.01.2025;27.01.2025;1,0
3676;301;801;26.01.2025;28.01.2025;0,0
3677;122;639;25.01.2025;30.01.2025;0,0
3678;196;146;22.01.2025;22.01.2025;3,0
3679;259;54;20.01.2025;27.01.2025;1,0
3680;64;18;28.01.2025;01.02.2025;2,5
3681;283;416;19.01.2025;24.01.2025;0,5
3682;253;196;27.01.2025;02.02.2025;1,0
3683;5;287;25.01.2025;01.02.2025;2,0
3684;166;12;25.01.2025;29.01.2025;3,0
3685;210;133;18.01.2025;22.01.2025;2,5
3686;95;264;24.01.2025;24.01.2025;1,0
3687;338;838;29.01.2025;31.01.2025;1,0
3688;123;121;26.01.2025;01.02.2025;2,5
3689;114;555;26.01.2025;26.01.2025;3,0
3690;64;18;24.01.2025;25.01.2025;3,0
3691;406;971;18.01.2025;20.01.2025;1,0
3692;92;310;26.01.2025;26.01.2025;1,5
3693;292;645;28.01.2025;31.01.2025;2,5
3694;350;850;19.01.2025;25.01.2025;0,0
3695;392;957;28.01.2025;29.01.2025;1,5
3696;295;30;19.01.2025;25.01.2025;3,0
3697;29;199;26.01.2025;29.01.2025;2,0
3698;138;171;27.01.2025;03.02.2025;0,5
3699;253;196;16.01.2025;16.01.2025;2,5
3700;377;942;27.01.2025;01.02.2025;2,5
3701;50;355;28.01.2025;30.01.2025;0,5
3702;170;83;17.01.2025;22.01.2025;2,5
3703;18;433;24.01.2025;31.01.2025;1,0
3704;249;152;30.01.2025;01.02.2025;2,5
3705;350;850;15.01.2025;19.01.2025;0,5
3706;68;545;31.01.2025;06.02.2025;0,5
3707;386;951;31.01.2025;07.02.2025;0,0
3708;153;98;18.01.2025;18.01.2025;2,5
3709;126;206;19.01.2025;24.01.2025;3,0
3710;107;136;23.01.2025;26.01.2025;2,5
3711;370;935;27.01.2025;27.01.2025;1,0
