BestellungID;PosID;LieferAdrID;LieferDienstID;LieferDatum
2863;5961;292;57;07.01.2025
2863;5962;292;67;11.01.2025
2864;5963;835;64;11.01.2025
2864;5964;835;66;09.01.2025
2865;5965;815;60;02.01.2025
2865;5966;815;22;07.01.2025
2866;5967;246;27;15.01.2025
2866;5968;246;18;14.01.2025
2866;5969;246;45;19.01.2025
2867;5970;77;53;21.01.2025
2867;5971;77;72;15.01.2025
2868;5972;378;2;05.01.2025
2868;5973;378;69;05.01.2025
2869;5974;131;35;24.01.2025
2870;5975;322;11;18.01.2025
2870;5976;322;17;17.01.2025
2871;5977;50;29;14.01.2025
2871;5978;50;17;14.01.2025
2872;5979;345;60;10.01.2025
2872;5980;345;52;11.01.2025
2872;5981;345;78;11.01.2025
2873;5982;65;76;18.01.2025
2873;5983;65;81;15.01.2025
2874;5984;51;6;11.01.2025
2874;5985;51;12;10.01.2025
2875;5986;59;79;08.01.2025
2876;5987;73;67;19.01.2025
2876;5988;73;7;21.01.2025
2877;5989;366;80;19.01.2025
2877;5990;366;44;17.01.2025
2877;5991;366;80;18.01.2025
2878;5992;141;68;21.01.2025
2878;5993;141;63;16.01.2025
2878;5994;141;28;18.01.2025
2879;5995;295;67;16.01.2025
2880;5996;41;9;17.01.2025
2880;5997;41;23;19.01.2025
2881;5998;41;23;10.01.2025
2882;5999;57;38;08.01.2025
2883;6000;50;50;19.01.2025
2883;6001;50;47;24.01.2025
2884;6002;254;33;10.01.2025
2884;6003;254;19;09.01.2025
2885;6004;815;11;16.01.2025
2886;6005;254;56;23.01.2025
2886;6006;254;67;18.01.2025
2886;6007;254;21;23.01.2025
2887;6008;848;38;14.01.2025
2887;6009;848;70;15.01.2025
2887;6010;848;44;17.01.2025
2888;6011;75;77;18.01.2025
2888;6012;75;56;16.01.2025
2889;6013;162;8;14.01.2025
2889;6014;162;52;14.01.2025
2890;6015;332;43;11.01.2025
2890;6016;332;29;07.01.2025
2891;6017;50;69;19.01.2025
2892;6018;141;13;14.01.2025
2892;6019;141;13;11.01.2025
2893;6020;288;70;19.01.2025
2893;6021;288;56;23.01.2025
2894;6022;201;48;10.01.2025
2894;6023;201;42;11.01.2025
2895;6024;146;70;17.01.2025
2896;6025;20;73;18.01.2025
2896;6026;20;21;20.01.2025
2897;6027;416;21;11.01.2025
2897;6028;416;39;09.01.2025
2898;6029;810;74;04.01.2025
2899;6030;30;71;08.01.2025
2900;6031;22;5;16.01.2025
2901;6032;462;59;20.01.2025
2902;6033;392;16;07.01.2025
2902;6034;392;15;10.01.2025
2902;6035;392;16;05.01.2025
2903;6036;24;43;23.01.2025
2903;6037;24;60;20.01.2025
2903;6038;24;78;17.01.2025
2904;6039;514;69;22.01.2025
2904;6040;514;66;20.01.2025
2904;6041;514;5;22.01.2025
2905;6042;330;1;11.01.2025
2906;6043;494;52;15.01.2025
2907;6044;307;41;15.01.2025
2908;6045;66;3;18.01.2025
2909;6046;254;2;18.01.2025
2910;6047;208;47;10.01.2025
2911;6048;132;58;20.01.2025
2912;6049;821;47;19.01.2025
2913;6050;516;1;12.01.2025
2914;6051;55;5;15.01.2025
2914;6052;55;29;19.01.2025
2915;6053;821;9;03.01.2025
2915;6054;821;43;10.01.2025
2915;6055;821;31;06.01.2025
2916;6056;328;29;16.01.2025
2916;6057;328;9;15.01.2025
2916;6058;328;56;14.01.2025
2917;6059;328;27;14.01.2025
2917;6060;328;55;11.01.2025
2918;6061;184;7;17.01.2025
2918;6062;184;29;20.01.2025
2918;6063;184;22;18.01.2025
2919;6064;545;4;08.01.2025
2919;6065;545;41;05.01.2025
2919;6066;545;23;10.01.2025
2920;6067;263;50;06.01.2025
2920;6068;263;9;06.01.2025
2920;6069;263;70;13.01.2025
2921;6070;553;82;20.01.2025
2921;6071;553;15;21.01.2025
2922;6072;30;39;11.01.2025
2922;6073;30;27;16.01.2025
2922;6074;30;36;12.01.2025
2923;6075;62;72;22.01.2025
2923;6076;62;25;22.01.2025
2924;6077;802;4;13.01.2025
2925;6078;248;11;11.01.2025
2925;6079;248;5;07.01.2025
2926;6080;73;12;11.01.2025
2926;6081;73;57;15.01.2025
2927;6082;561;4;09.01.2025
2927;6083;561;12;12.01.2025
2927;6084;561;78;08.01.2025
2928;6085;34;68;23.01.2025
2928;6086;34;41;17.01.2025
2929;6087;121;58;13.01.2025
2929;6088;121;22;13.01.2025
2929;6089;121;79;12.01.2025
2930;6090;807;52;11.01.2025
2930;6091;807;40;13.01.2025
2931;6092;131;11;14.01.2025
2931;6093;131;47;15.01.2025
2932;6094;91;78;11.01.2025
2933;6095;9;68;17.01.2025
2934;6096;201;68;08.01.2025
2934;6097;201;15;12.01.2025
2934;6098;201;65;11.01.2025
2935;6099;806;10;12.01.2025
2936;6100;55;54;08.01.2025
2936;6101;55;8;08.01.2025
2937;6102;288;33;06.01.2025
2937;6103;288;64;09.01.2025
2938;6104;170;41;13.01.2025
2938;6105;170;51;07.01.2025
2939;6106;108;50;17.01.2025
2939;6107;108;23;14.01.2025
2939;6108;108;78;12.01.2025
2940;6109;817;36;12.01.2025
2940;6110;817;26;13.01.2025
2940;6111;817;73;10.01.2025
2941;6112;369;55;25.01.2025
2942;6113;555;36;18.01.2025
2942;6114;555;44;15.01.2025
2943;6115;95;76;15.01.2025
2943;6116;95;36;17.01.2025
2944;6117;295;9;13.01.2025
2944;6118;295;4;10.01.2025
2944;6119;295;65;08.01.2025
2945;6120;841;2;13.01.2025
2945;6121;841;78;14.01.2025
2946;6122;255;54;13.01.2025
2946;6123;255;69;18.01.2025
2946;6124;255;79;17.01.2025
2947;6125;820;39;17.01.2025
2948;6126;804;43;16.01.2025
2948;6127;804;41;17.01.2025
2948;6128;804;43;15.01.2025
2949;6129;203;22;15.01.2025
2949;6130;203;13;12.01.2025
2950;6131;51;12;20.01.2025
2951;6132;837;20;21.01.2025
2951;6133;837;71;17.01.2025
2952;6134;150;38;15.01.2025
2953;6135;139;66;18.01.2025
2953;6136;139;66;18.01.2025
2954;6137;106;15;14.01.2025
2954;6138;106;56;21.01.2025
2955;6139;199;6;13.01.2025
2955;6140;199;63;14.01.2025
2956;6141;262;39;04.01.2025
2956;6142;262;76;10.01.2025
2956;6143;262;73;03.01.2025
2957;6144;5;59;16.01.2025
2958;6145;86;75;12.01.2025
2959;6146;147;22;15.01.2025
2959;6147;147;59;20.01.2025
2960;6148;164;61;15.01.2025
2961;6149;42;36;08.01.2025
2962;6150;821;53;11.01.2025
2962;6151;821;37;15.01.2025
2962;6152;821;34;11.01.2025
2963;6153;215;11;23.01.2025
2963;6154;215;21;22.01.2025
2964;6155;417;3;18.01.2025
2964;6156;417;6;16.01.2025
2964;6157;417;80;17.01.2025
2965;6158;34;67;18.01.2025
2965;6159;34;7;21.01.2025
2966;6160;249;58;17.01.2025
2966;6161;249;28;14.01.2025
2966;6162;249;64;11.01.2025
2967;6163;287;20;13.01.2025
2968;6164;121;46;12.01.2025
2968;6165;121;67;12.01.2025
2968;6166;121;39;10.01.2025
2969;6167;330;10;09.01.2025
2970;6168;554;70;07.01.2025
2970;6169;554;40;05.01.2025
2971;6170;123;25;22.01.2025
2971;6171;123;29;19.01.2025
2971;6172;123;46;19.01.2025
2972;6173;123;67;14.01.2025
2972;6174;123;25;16.01.2025
2972;6175;123;73;12.01.2025
2973;6176;839;50;04.01.2025
2973;6177;839;68;06.01.2025
2973;6178;839;80;07.01.2025
2974;6179;3;50;09.01.2025
2975;6180;52;1;19.01.2025
2975;6181;52;39;22.01.2025
2975;6182;52;64;25.01.2025
2976;6183;46;27;24.01.2025
2976;6184;46;78;25.01.2025
2977;6185;314;4;10.01.2025
2977;6186;314;24;08.01.2025
2978;6187;38;12;17.01.2025
2978;6188;38;2;16.01.2025
2979;6189;450;23;05.01.2025
2979;6190;450;42;07.01.2025
2979;6191;450;29;06.01.2025
2980;6192;410;75;19.01.2025
2980;6193;410;73;20.01.2025
2981;6194;194;10;18.01.2025
2981;6195;194;81;17.01.2025
2981;6196;194;34;12.01.2025
2982;6197;268;1;21.01.2025
2983;6198;183;59;09.01.2025
2983;6199;183;68;11.01.2025
2983;6200;183;81;08.01.2025
2984;6201;355;62;19.01.2025
2984;6202;355;58;16.01.2025
2985;6203;345;42;09.01.2025
2985;6204;345;54;06.01.2025
2985;6205;345;1;05.01.2025
2986;6206;257;16;13.01.2025
2986;6207;257;40;15.01.2025
2987;6208;87;36;23.01.2025
