BestellungID;PosID;ProduktID;SpezLieferAdrID;Menge;Preis
1601;1601;80;;6;4,0
1602;1602;54;;5;5,0
1603;1603;33;;4;0.8
1604;1604;46;;3;8,0
1605;1605;71;;6;4,0
1606;1606;13;;0;4,5
1607;1607;14;;8;4,5
1608;1608;125;;9;7,0
1609;1609;89;;9;0.8
1610;1610;64;;4;4,5
1611;1611;8;;8;8,0
1612;1612;11;;6;8,0
1613;1613;24;;10;3,0
1614;1614;100;;1;5,6
1615;1615;19;;5;2,0
1616;1616;22;;5;2,0
1617;1617;125;;6;7,0
1618;1618;110;;8;0.5
1619;1619;54;;6;5,0
1620;1620;122;;3;2,0
1621;1621;54;;1;5,0
1622;1622;9;;6;3,0
1623;1623;88;;8;0.5
1624;1624;3;;3;5,0
1625;1625;124;;5;3,0
1626;1626;111;;7;8,0
1627;1627;21;;7;4,0
1628;1628;43;;1;2,3
1629;1629;28;;1;2,0
1630;1630;27;;2;2,0
1631;1631;84;;8;0.75
1632;1632;97;;10;9,0
1633;1633;44;;9;4,0
1634;1634;92;;0;2,4
1635;1635;59;;0;3,0
1636;1636;61;;7;8,0
1637;1637;123;;1;3,0
1638;1638;37;;1;0.5
1639;1639;105;;4;5,0
1640;1640;108;;5;8,0
1641;1641;51;;6;2,0
1642;1642;116;;5;3,0
1643;1643;49;;1;3,8
1644;1644;73;;0;3,0
1645;1645;112;;10;4,0
1646;1646;99;;4;3,8
1647;1647;41;;10;1,2
1648;1648;35;;9;1,0
1649;1649;40;;0;1,0
1650;1650;15;;0;4,5
1651;1651;24;;7;3,0
1652;1652;108;;8;8,0
1653;1653;45;;1;2,0
1654;1654;66;;10;3,0
1655;1655;30;;0;4,0
1656;1656;47;;10;9,0
1657;1657;29;;9;1,5
1658;1658;49;;4;3,8
1659;1659;22;;4;2,0
1660;1660;4;;8;5,0
1661;1661;109;;5;3,0
1662;1662;10;;0;0.5
1663;1663;115;;5;4,5
1664;1664;58;;10;8,0
1665;1665;83;;0;0.8
1666;1666;73;;10;3,0
1667;1667;61;;6;8,0
1668;1668;98;;8;4,5
1669;1669;77;;8;2,0
1670;1670;105;;10;5,0
1671;1671;1;;6;2,0
1672;1672;104;;4;5,0
1673;1673;54;;0;5,0
1674;1674;45;;10;2,0
1675;1675;12;;3;4,0
1676;1676;49;;5;3,8
1677;1677;63;;6;4,5
1678;1678;103;;9;5,0
1679;1679;42;;5;2,4
1680;1680;41;;2;1,2
1681;1681;109;;6;3,0
1682;1682;30;;4;4,0
1683;1683;12;;4;4,0
1684;1684;2;;2;4,0
1685;1685;59;;7;3,0
1686;1686;53;;10;5,0
1687;1687;117;;0;3,5
1688;1688;36;;2;0.5
1689;1689;1;;7;2,0
1690;1690;104;;3;5,0
1691;1691;61;;9;8,0
1692;1692;92;;4;2,4
1693;1693;6;;5;7,0
1694;1694;117;;0;3,5
1695;1695;93;;9;2,3
1696;1696;20;;6;8,0
1697;1697;43;;7;2,3
1698;1698;11;;8;8,0
1699;1699;74;;1;3,0
1700;1700;110;;6;0.5
1701;1701;94;;3;4,0
1702;1702;17;;8;3,5
1703;1703;85;;4;1,0
1704;1704;70;;3;8,0
1705;1705;11;;1;8,0
1706;1706;107;;4;8,0
1707;1707;16;;5;3,0
1708;1708;103;;3;5,0
1709;1709;77;;8;2,0
1710;1710;16;;10;3,0
1711;1711;38;;4;0.5
1712;1712;103;;0;5,0
1713;1713;116;;0;3,0
1714;1714;31;;2;2,0
1715;1715;31;;6;2,0
1716;1716;123;;0;3,0
1717;1717;43;;10;2,3
1718;1718;56;;9;7,0
1719;1719;95;;8;2,0
1720;1720;51;;1;2,0
1721;1721;122;;9;2,0
1722;1722;63;;6;4,5
1723;1723;92;;9;2,4
1724;1724;17;;10;3,5
1725;1725;66;;3;3,0
1726;1726;108;;4;8,0
1727;1727;61;;1;8,0
1728;1728;56;;6;7,0
1729;1729;118;;10;6,0
1730;1730;25;;9;7,0
1731;1731;77;;10;2,0
1732;1732;105;;5;5,0
1733;1733;27;;4;2,0
1734;1734;91;;6;1,2
1735;1735;124;;8;3,0
1736;1736;29;;2;1,5
1737;1737;114;;1;4,5
1738;1738;73;;9;3,0
1739;1739;32;;0;5,0
1740;1740;33;;0;0.8
1741;1741;63;;8;4,5
1742;1742;54;;6;5,0
1743;1743;89;;4;0.8
1744;1744;122;;7;2,0
1745;1745;99;;2;3,8
1746;1746;32;;7;5,0
1747;1747;76;;0;4,0
1748;1748;24;;3;3,0
1749;1749;39;;4;0.8
1750;1750;5;;0;5,0
1751;1751;84;;9;0.75
1752;1752;101;;8;2,0
1753;1753;109;;7;3,0
1754;1754;70;;1;8,0
1755;1755;24;;9;3,0
1756;1756;3;;2;5,0
1757;1757;96;;0;8,0
1758;1758;42;;7;2,4
1759;1759;50;;0;5,6
1760;1760;49;;8;3,8
1761;1761;55;;3;5,0
1762;1762;126;;5;4,0
1763;1763;50;;10;5,6
1764;1764;81;;4;2,0
1765;1765;82;;2;5,0
1766;1766;12;;0;4,0
1767;1767;48;;5;4,5
1768;1768;40;;8;1,0
1769;1769;71;;1;4,0
1770;1770;89;;5;0.8
1771;1771;17;;5;3,5
1772;1772;44;;10;4,0
1773;1773;41;;6;1,2
1774;1774;96;;0;8,0
1775;1775;15;;6;4,5
1776;1776;19;;3;2,0
1777;1777;29;;3;1,5
1778;1778;96;;7;8,0
1779;1779;115;;7;4,5
1780;1780;113;;5;4,5
1781;1781;87;;1;0.5
1782;1782;106;;2;7,0
1783;1783;82;;10;5,0
1784;1784;9;;4;3,0
1785;1785;4;;3;5,0
1786;1786;115;;4;4,5
1787;1787;102;;0;4,0
1788;1788;2;;5;4,0
1789;1789;110;;8;0.5
1790;1790;120;;0;8,0
1791;1791;122;;10;2,0
1792;1792;8;;3;8,0
1793;1793;100;;1;5,6
1794;1794;8;;4;8,0
1795;1795;68;;3;6,0
1796;1796;18;;8;6,0
1797;1797;85;;7;1,0
1798;1798;113;;5;4,5
1799;1799;7;;9;8,0
1800;1800;23;;7;3,0
1801;1801;43;;6;2,3
1802;1802;79;;8;1,5
1803;1803;37;;7;0.5
1804;1804;54;;2;5,0
1805;1805;39;;9;0.8
1806;1806;4;;8;5,0
1807;1807;6;;4;7,0
1808;1808;5;;8;5,0
1809;1809;102;;5;4,0
1810;1810;7;;0;8,0
1811;1811;121;;2;4,0
1812;1812;49;;1;3,8
1813;1813;103;;2;5,0
1814;1814;79;;8;1,5
1815;1815;11;;1;8,0
1816;1816;12;;1;4,0
1817;1817;1;;2;2,0
1818;1818;32;;5;5,0
1819;1819;25;;3;7,0
1820;1820;80;;2;4,0
1821;1821;52;;5;4,0
1822;1822;25;;4;7,0
1823;1823;92;;9;2,4
1824;1824;25;;10;7,0
1825;1825;89;;0;0.8
1826;1826;80;;10;4,0
1827;1827;55;;2;5,0
1828;1828;111;;3;8,0
1829;1829;7;;9;8,0
1830;1830;112;;6;4,0
1831;1831;64;;5;4,5
1832;1832;60;;10;0.5
1833;1833;114;;1;4,5
1834;1834;61;;2;8,0
1835;1835;76;;6;4,0
1836;1836;53;;9;5,0
1837;1837;29;;10;1,5
1838;1838;52;;4;4,0
1839;1839;2;;8;4,0
1840;1840;121;;8;4,0
1841;1841;34;;10;0.75
1842;1842;27;;5;2,0
1843;1843;22;;1;2,0
1844;1844;125;;3;7,0
1845;1845;48;;9;4,5
1846;1846;42;;2;2,4
1847;1847;9;;8;3,0
1848;1848;113;;5;4,5
1849;1849;98;;2;4,5
1850;1850;4;;3;5,0
1851;1851;36;;6;0.5
1852;1852;4;;7;5,0
1853;1853;40;;7;1,0
1854;1854;105;;1;5,0
1855;1855;125;;1;7,0
1856;1856;12;;9;4,0
1857;1857;77;;3;2,0
1858;1858;48;;10;4,5
1859;1859;54;;0;5,0
1860;1860;88;;4;0.5
1861;1861;81;;1;2,0
1862;1862;104;;10;5,0
1863;1863;39;;8;0.8
1864;1864;115;;8;4,5
1865;1865;108;;10;8,0
1866;1866;63;;3;4,5
1867;1867;13;;10;4,5
1868;1868;65;;0;4,5
1869;1869;94;;6;4,0
1870;1870;53;;4;5,0
1871;1871;19;;2;2,0
1872;1872;5;;6;5,0
1873;1873;126;;0;4,0
1874;1874;125;;7;7,0
1875;1875;117;;6;3,5
1876;1876;116;;10;3,0
1877;1877;88;;5;0.5
1878;1878;30;;8;4,0
1879;1879;91;;6;1,2
1880;1880;30;;5;4,0
1881;1881;6;;10;7,0
1882;1882;10;;0;0.5
1883;1883;21;;8;4,0
1884;1884;84;;2;0.75
1885;1885;15;;9;4,5
1886;1886;118;;2;6,0
1887;1887;63;;7;4,5
1888;1888;13;;7;4,5
1889;1889;72;;5;2,0
1890;1890;97;;3;9,0
1891;1891;17;;8;3,5
1892;1892;9;;2;3,0
1893;1893;107;;1;8,0
1894;1894;62;;9;4,0
1895;1895;51;;9;2,0
1896;1896;113;;6;4,5
1897;1897;56;;1;7,0
1898;1898;54;;7;5,0
1899;1899;103;;5;5,0
1900;1900;30;;6;4,0
1901;1901;124;;6;3,0
1902;1902;116;;8;3,0
1903;1903;66;;3;3,0
1904;1904;47;;8;9,0
1905;1905;100;;7;5,6
1906;1906;34;;5;0.75
1907;1907;58;;2;8,0
1908;1908;102;;1;4,0
1909;1909;25;;3;7,0
1910;1910;111;;7;8,0
1911;1911;76;;6;4,0
1912;1912;55;;7;5,0
1913;1913;39;;5;0.8
1914;1914;23;;9;3,0
1915;1915;121;;4;4,0
1916;1916;5;;5;5,0
1917;1917;100;;5;5,6
1918;1918;45;;7;2,0
1919;1919;45;;10;2,0
1920;1920;51;;8;2,0
1921;1921;24;;3;3,0
1922;1922;65;;7;4,5
1923;1923;10;;6;0.5
1924;1924;100;;5;5,6
1925;1925;32;;0;5,0
1926;1926;58;;10;8,0
1927;1927;32;;1;5,0
1928;1928;69;;2;2,0
1929;1929;56;;10;7,0
1930;1930;29;;3;1,5
1931;1931;19;;7;2,0
1932;1932;49;;1;3,8
1933;1933;62;;8;4,0
1934;1934;80;;10;4,0
1935;1935;45;;5;2,0
1936;1936;15;;9;4,5
1937;1937;125;;7;7,0
1938;1938;44;;10;4,0
1939;1939;68;;10;6,0
1940;1940;7;;8;8,0
1941;1941;12;;10;4,0
1942;1942;31;;2;2,0
1943;1943;96;;0;8,0
1944;1944;10;;8;0.5
1945;1945;123;;2;3,0
1946;1946;66;;8;3,0
1947;1947;21;;0;4,0
