BestellungID;KundeID;AllgLieferAdrID;Bestelldatum;Wunschdatum;Rabatt
2063;270;212;15.12.2024;21.12.2024;3,0
2064;27;27;25.12.2024;29.12.2024;1,0
2065;197;258;30.12.2024;05.01.2025;2,5
2066;161;76;31.12.2024;31.12.2024;3,0
2067;73;53;26.12.2024;01.01.2025;0,5
2068;56;117;15.12.2024;20.12.2024;3,0
2069;189;52;29.12.2024;01.01.2025;1,5
2070;98;87;18.12.2024;20.12.2024;2,5
2071;27;27;17.12.2024;22.12.2024;3,0
2072;206;65;29.12.2024;04.01.2025;0,0
2073;148;284;22.12.2024;25.12.2024;1,5
2074;276;466;20.12.2024;25.12.2024;2,0
2075;72;261;16.12.2024;20.12.2024;0,0
2076;3;494;27.12.2024;02.01.2025;0,0
2077;41;191;18.12.2024;23.12.2024;2,5
2078;233;40;17.12.2024;24.12.2024;1,0
2079;252;467;27.12.2024;30.12.2024;0,0
2080;165;108;25.12.2024;30.12.2024;2,5
2081;155;51;27.12.2024;31.12.2024;3,0
2082;179;14;29.12.2024;03.01.2025;0,0
2083;276;466;25.12.2024;31.12.2024;3,0
2084;98;87;18.12.2024;25.12.2024;0,5
2085;245;70;31.12.2024;31.12.2024;2,5
2086;153;98;29.12.2024;03.01.2025;2,5
2087;221;296;19.12.2024;19.12.2024;2,5
2088;220;57;21.12.2024;26.12.2024;0,5
2089;185;233;16.12.2024;21.12.2024;3,0
2090;241;91;28.12.2024;01.01.2025;3,0
2091;292;645;25.12.2024;25.12.2024;0,5
2092;86;237;24.12.2024;31.12.2024;1,0
2093;10;93;20.12.2024;22.12.2024;1,0
2094;90;128;30.12.2024;30.12.2024;3,0
2095;126;206;26.12.2024;30.12.2024;0,0
2096;13;173;17.12.2024;18.12.2024;3,0
2097;222;540;25.12.2024;31.12.2024;1,0
2098;168;647;24.12.2024;28.12.2024;0,5
2099;123;121;16.12.2024;19.12.2024;0,0
2100;204;522;25.12.2024;26.12.2024;0,0
2101;295;30;18.12.2024;25.12.2024;2,5
2102;207;15;19.12.2024;20.12.2024;1,0
2103;57;78;15.12.2024;19.12.2024;1,0
2104;254;99;25.12.2024;01.01.2025;2,5
2105;209;126;30.12.2024;04.01.2025;1,5
2106;86;237;19.12.2024;26.12.2024;2,0
2107;108;307;30.12.2024;03.01.2025;2,0
2108;8;22;23.12.2024;25.12.2024;1,0
2109;130;23;25.12.2024;28.12.2024;2,0
2110;48;210;19.12.2024;25.12.2024;2,0
2111;93;113;24.12.2024;28.12.2024;3,0
2112;223;385;22.12.2024;26.12.2024;1,5
2113;114;555;30.12.2024;02.01.2025;3,0
2114;71;58;24.12.2024;27.12.2024;1,0
2115;18;433;29.12.2024;31.12.2024;1,5
2116;47;6;21.12.2024;25.12.2024;2,0
2117;30;77;18.12.2024;23.12.2024;1,5
2118;135;94;24.12.2024;27.12.2024;2,5
2119;186;378;29.12.2024;01.01.2025;2,0
2120;207;15;22.12.2024;25.12.2024;3,0
2121;120;60;28.12.2024;01.01.2025;1,5
2122;299;246;30.12.2024;05.01.2025;2,0
2123;143;330;29.12.2024;31.12.2024;0,0
2124;265;462;26.12.2024;26.12.2024;0,0
2125;153;98;27.12.2024;27.12.2024;1,5
2126;47;6;17.12.2024;21.12.2024;3,0
2127;99;37;27.12.2024;03.01.2025;0,5
2128;78;361;17.12.2024;21.12.2024;1,5
2129;101;253;28.12.2024;28.12.2024;2,0
2130;174;123;18.12.2024;22.12.2024;2,0
2131;189;52;17.12.2024;18.12.2024;0,5
2132;196;146;20.12.2024;27.12.2024;2,5
2133;141;86;17.12.2024;18.12.2024;0,0
2134;198;328;17.12.2024;22.12.2024;3,0
2135;84;132;25.12.2024;25.12.2024;2,0
2136;252;467;19.12.2024;19.12.2024;0,5
2137;271;157;20.12.2024;23.12.2024;0,0
2138;207;15;28.12.2024;04.01.2025;3,0
2139;67;445;17.12.2024;23.12.2024;1,0
2140;50;355;21.12.2024;21.12.2024;3,0
2141;130;23;27.12.2024;30.12.2024;2,5
2142;26;147;31.12.2024;04.01.2025;1,5
2143;92;310;16.12.2024;19.12.2024;3,0
2144;44;159;21.12.2024;21.12.2024;0,0
2145;181;96;29.12.2024;30.12.2024;1,0
2146;79;24;19.12.2024;20.12.2024;0,0
2147;256;235;25.12.2024;28.12.2024;0,0
2148;248;317;21.12.2024;21.12.2024;0,5
2149;241;91;17.12.2024;22.12.2024;0,5
2150;128;92;24.12.2024;27.12.2024;1,0
2151;247;257;29.12.2024;29.12.2024;3,0
2152;61;342;28.12.2024;04.01.2025;2,0
2153;202;279;27.12.2024;31.12.2024;0,0
2154;158;225;24.12.2024;28.12.2024;2,0
2155;187;35;24.12.2024;30.12.2024;2,0
2156;288;262;22.12.2024;26.12.2024;3,0
2157;180;292;29.12.2024;01.01.2025;0,5
2158;19;234;30.12.2024;30.12.2024;2,0
2159;182;31;17.12.2024;22.12.2024;0,5
2160;162;242;26.12.2024;26.12.2024;2,5
2161;243;41;28.12.2024;31.12.2024;3,0
2162;140;260;15.12.2024;21.12.2024;1,5
2163;109;29;16.12.2024;17.12.2024;1,5
2164;148;284;31.12.2024;03.01.2025;2,0
2165;73;53;19.12.2024;26.12.2024;3,0
2166;220;57;21.12.2024;26.12.2024;2,5
2167;112;230;25.12.2024;28.12.2024;3,0
2168;3;494;26.12.2024;01.01.2025;1,5
2169;175;218;19.12.2024;24.12.2024;3,0
2170;51;19;15.12.2024;18.12.2024;1,5
2171;179;14;16.12.2024;19.12.2024;1,0
2172;33;13;15.12.2024;22.12.2024;2,0
2173;241;91;30.12.2024;30.12.2024;2,0
2174;223;385;27.12.2024;29.12.2024;0,0
2175;226;116;31.12.2024;04.01.2025;2,5
2176;249;152;19.12.2024;19.12.2024;1,5
2177;134;344;16.12.2024;16.12.2024;3,0
2178;254;99;22.12.2024;29.12.2024;1,0
2179;121;357;30.12.2024;02.01.2025;2,5
