BestellungID;PosID;LieferAdrID;LieferDienstID;LieferDatum
2063;4369;212;15;13.01.2025
2064;4370;27;39;25.12.2024
2064;4371;27;35;22.12.2024
2065;4372;258;10;02.01.2025
2065;4373;258;43;31.12.2024
2065;4374;258;33;02.01.2025
2066;4375;76;65;10.01.2025
2067;4376;53;16;06.01.2025
2067;4377;53;43;07.01.2025
2067;4378;53;24;03.01.2025
2068;4379;117;65;06.01.2025
2068;4380;117;34;06.01.2025
2068;4381;117;32;03.01.2025
2069;4382;52;80;20.12.2024
2069;4383;52;47;25.12.2024
2070;4384;87;71;08.01.2025
2070;4385;87;64;05.01.2025
2071;4386;27;41;23.12.2024
2072;4387;65;16;27.12.2024
2073;4388;284;43;05.01.2025
2074;4389;466;61;31.12.2024
2074;4390;466;53;01.01.2025
2074;4391;466;1;30.12.2024
2075;4392;261;70;30.12.2024
2076;4393;494;36;24.12.2024
2077;4394;191;21;06.01.2025
2077;4395;191;79;04.01.2025
2077;4396;191;20;03.01.2025
2078;4397;40;9;24.12.2024
2079;4398;467;7;25.12.2024
2079;4399;467;63;30.12.2024
2079;4400;467;63;26.12.2024
2080;4401;108;50;31.12.2024
2080;4402;108;38;05.01.2025
2081;4403;51;67;01.01.2025
2082;4404;14;64;07.01.2025
2082;4405;14;46;06.01.2025
2083;4406;466;66;06.01.2025
2084;4407;87;15;31.12.2024
2084;4408;87;70;04.01.2025
2085;4409;70;16;30.12.2024
2085;4410;70;49;31.12.2024
2085;4411;70;68;27.12.2024
2086;4412;98;17;04.01.2025
2086;4413;98;9;06.01.2025
2087;4414;296;24;07.01.2025
2088;4415;57;53;25.12.2024
2088;4416;57;44;23.12.2024
2088;4417;57;1;23.12.2024
2089;4418;233;38;02.01.2025
2089;4419;233;67;01.01.2025
2089;4420;233;20;27.12.2024
2090;4421;91;9;27.12.2024
2091;4422;645;26;03.01.2025
2091;4423;645;73;06.01.2025
2091;4424;645;57;08.01.2025
2092;4425;237;34;28.12.2024
2093;4426;93;22;06.01.2025
2093;4427;93;33;03.01.2025
2093;4428;93;63;02.01.2025
2094;4429;128;44;29.12.2024
2095;4430;206;45;04.01.2025
2096;4431;173;61;03.01.2025
2097;4432;540;47;18.12.2024
2097;4433;540;55;20.12.2024
2098;4434;647;50;07.01.2025
2099;4435;121;22;29.12.2024
2099;4436;121;17;03.01.2025
2099;4437;121;42;04.01.2025
2100;4438;522;5;19.12.2024
2101;4439;30;74;30.12.2024
2101;4440;30;78;27.12.2024
2102;4441;15;43;30.12.2024
2103;4442;78;22;25.12.2024
2103;4443;78;26;25.12.2024
2103;4444;78;61;27.12.2024
2104;4445;99;75;24.12.2024
2105;4446;126;53;08.01.2025
2105;4447;126;1;04.01.2025
2105;4448;126;43;05.01.2025
2106;4449;237;33;07.01.2025
2107;4450;307;20;29.12.2024
2108;4451;22;42;09.01.2025
2109;4452;23;51;01.01.2025
2110;4453;210;48;30.12.2024
2110;4454;210;11;01.01.2025
2110;4455;210;79;31.12.2024
2111;4456;113;68;25.12.2024
2111;4457;113;38;27.12.2024
2111;4458;113;33;25.12.2024
2112;4459;385;68;29.12.2024
2112;4460;385;54;04.01.2025
2113;4461;555;42;02.01.2025
2114;4462;58;65;05.01.2025
2115;4463;433;29;27.12.2024
2116;4464;6;36;07.01.2025
2116;4465;6;10;05.01.2025
2116;4466;6;65;31.12.2024
2117;4467;77;50;25.12.2024
2117;4468;77;73;29.12.2024
2118;4469;94;76;28.12.2024
2118;4470;94;5;26.12.2024
2118;4471;94;50;24.12.2024
2119;4472;378;25;29.12.2024
2120;4473;15;40;01.01.2025
2121;4474;60;34;26.12.2024
2121;4475;60;18;31.12.2024
2121;4476;60;63;30.12.2024
2122;4477;246;73;02.01.2025
2122;4478;246;14;01.01.2025
2122;4479;246;54;08.01.2025
2123;4480;330;1;06.01.2025
2124;4481;462;30;04.01.2025
2125;4482;98;74;26.12.2024
2126;4483;6;23;29.12.2024
2126;4484;6;16;02.01.2025
2127;4485;37;20;26.12.2024
2128;4486;361;76;10.01.2025
2128;4487;361;29;09.01.2025
2129;4488;253;10;23.12.2024
2129;4489;253;40;25.12.2024
2129;4490;253;71;21.12.2024
2130;4491;123;53;28.12.2024
2130;4492;123;6;03.01.2025
2130;4493;123;55;01.01.2025
2131;4494;52;26;24.12.2024
2131;4495;52;2;22.12.2024
2132;4496;146;53;23.12.2024
2132;4497;146;61;18.12.2024
2133;4498;86;38;01.01.2025
2133;4499;86;46;01.01.2025
2134;4500;328;66;18.12.2024
2134;4501;328;63;23.12.2024
2134;4502;328;67;24.12.2024
2135;4503;132;20;28.12.2024
2135;4504;132;15;25.12.2024
2135;4505;132;71;29.12.2024
2136;4506;467;75;25.12.2024
2137;4507;157;38;30.01.2025
2137;4508;157;70;01.02.2024
2138;4509;15;54;28.12.2024
2138;4510;15;31;28.12.2024
2138;4511;15;17;28.12.2024
2139;4512;445;17;07.01.2025
2139;4513;445;26;04.01.2025
2139;4514;445;5;08.01.2025
2140;4515;355;60;29.12.2024
2140;4516;355;79;23.12.2024
2141;4517;23;56;25.12.2024
2141;4518;23;2;22.12.2024
2142;4519;147;11;01.01.2025
2143;4520;310;13;09.01.2025
2143;4521;310;43;04.01.2025
2144;4522;159;25;22.12.2024
2145;4523;96;13;28.12.2024
2146;4524;24;43;05.01.2025
2147;4525;235;40;21.12.2024
2147;4526;235;10;21.12.2024
2148;4527;317;10;31.12.2024
2149;4528;91;34;23.12.2024
2150;4529;92;5;24.12.2024
2150;4530;92;9;28.12.2024
2151;4531;257;21;02.01.2025
2152;4532;342;65;30.12.2024
2153;4533;279;28;11.01.2025
