KatID,OberKatID,Rabatt,Von,Bis,Festlegung,Stand
G,,9.0,15.01.2025,,10.01.2025,15.01.2025
GMi,G,8.0,15.01.2025,04.02.2025,02.01.2025,15.01.2025
GMiAMARANTH ,GMi,2.0,15.01.2025,,10.01.2025,15.01.2025
GMiBETE ,GMi,7.0,15.01.2025,,20.01.2025,15.01.2025
GMiCHILI ,GMi,2.0,15.01.2025,,02.01.2025,15.01.2025
GMiFENCHEL ,GMi,0.0,15.01.2025,,10.01.2025,15.01.2025
GMiKOHLRABI ,GMi,0.0,15.01.2025,,10.01.2025,15.01.2025
GMiLAUCHZWIEBEL ,GMi,0.0,15.01.2025,,10.01.2025,15.01.2025
GMiMANGOLD ,GMi,0.0,15.01.2025,22.01.2025,02.01.2025,15.01.2025
GMiMÖHRE ,GMi,3.0,15.01.2025,29.01.2025,20.01.2025,15.01.2025
GMiPAPRIKA ,GMi,0.0,15.01.2025,,10.01.2025,15.01.2025
GMiPASTINAKE ,GMi,0.0,15.01.2025,,10.01.2025,15.01.2025
GMiPFEFFERONI ,GMi,0.0,15.01.2025,07.02.2025,02.01.2025,15.01.2025
GMiRETTICH ,GMi,0.0,15.01.2025,,10.01.2025,15.01.2025
GMiSALAT ,GMi,0.0,15.01.2025,,20.01.2025,15.01.2025
GMiSCHWARZWURZEL ,GMi,0.0,15.01.2025,,20.01.2025,15.01.2025
GMiSPINAT ,GMi,3.0,15.01.2025,,20.01.2025,15.01.2025
GSc,G,0.0,15.01.2025,,20.01.2025,15.01.2025
GScBOHNE ,GSc,0.0,15.01.2025,30.01.2025,10.01.2025,15.01.2025
GScERBSE ,GSc,5.0,15.01.2025,28.02.2025,20.01.2025,15.01.2025
GScMAIRÜBE ,GSc,0.0,15.01.2025,,10.01.2025,15.01.2025
GScRADIESCHEN ,GSc,0.0,15.01.2025,01.03.2025,20.01.2025,15.01.2025
GScSALAT ,GSc,0.0,15.01.2025,,20.01.2025,15.01.2025
GSt,G,0.0,15.01.2025,,20.01.2025,15.01.2025
GStANDENBEERE ,GSt,0.0,15.01.2025,21.01.2025,10.01.2025,15.01.2025
GStAUBERGINE ,GSt,0.0,15.01.2025,,20.01.2025,15.01.2025
GStBLUMENKOHL ,GSt,4.0,15.01.2025,24.02.2025,02.01.2025,15.01.2025
GStBROKKOLI ,GSt,0.0,15.01.2025,,10.01.2025,15.01.2025
GStCHINAKOHL ,GSt,9.0,15.01.2025,,02.01.2025,15.01.2025
GStGRÜNKOHL ,GSt,0.0,15.01.2025,20.01.2025,20.01.2025,15.01.2025
GStGURKE ,GSt,0.0,15.01.2025,,02.01.2025,15.01.2025
GStKÜRBIS ,GSt,1.0,15.01.2025,,20.01.2025,15.01.2025
GStLAUCH ,GSt,0.0,15.01.2025,,20.01.2025,15.01.2025
GStMELONE ,GSt,0.0,15.01.2025,14.02.2025,10.01.2025,15.01.2025
GStPALMKOHL ,GSt,0.0,15.01.2025,06.02.2025,20.01.2025,15.01.2025
GStROSENKOHL ,GSt,0.0,15.01.2025,,10.01.2025,15.01.2025
GStROTKOHL ,GSt,7.0,15.01.2025,,02.01.2025,15.01.2025
GStSELLERIE ,GSt,0.0,15.01.2025,22.02.2025,02.01.2025,15.01.2025
GStTOMATE ,GSt,0.0,15.01.2025,18.02.2025,10.01.2025,15.01.2025
GStWEIßKOHL ,GSt,5.0,15.01.2025,,02.01.2025,15.01.2025
GStWIRSING ,GSt,0.0,15.01.2025,,20.01.2025,15.01.2025
GStZUCCHINI ,GSt,0.0,15.01.2025,15.01.2025,02.01.2025,15.01.2025
GStZUCKERMAIS ,GSt,0.0,15.01.2025,,02.01.2025,15.01.2025
K,,1.0,15.01.2025,07.02.2025,02.01.2025,15.01.2025
KMi,K,0.0,15.01.2025,,10.01.2025,15.01.2025
KMiPETERSILIE ,KMi,0.0,15.01.2025,03.02.2025,02.01.2025,15.01.2025
KSc,K,9.0,15.01.2025,22.02.2025,20.01.2025,15.01.2025
KScBASILIKUM ,KSc,2.0,15.01.2025,11.02.2025,20.01.2025,15.01.2025
KScBRUNNENKRESSE,KSc,0.0,15.01.2025,27.02.2025,10.01.2025,15.01.2025
KScDILL ,KSc,0.0,15.01.2025,,10.01.2025,15.01.2025
KScKNOBLAUCHSRAUKE,KSc,0.0,15.01.2025,,10.01.2025,15.01.2025
KScKORIANDER,KSc,3.0,15.01.2025,16.01.2025,20.01.2025,15.01.2025
KScLAUCH-HELLERKRAUT,KSc,0.0,15.01.2025,,10.01.2025,15.01.2025
P,,0.0,15.01.2025,,20.01.2025,15.01.2025
PMi,P,0.0,15.01.2025,18.01.2025,10.01.2025,15.01.2025
PMiKNOBLAUCH ,PMi,1.0,15.01.2025,,20.01.2025,15.01.2025
PMiKNOLLIGER ,PMi,7.0,15.01.2025,09.02.2025,10.01.2025,15.01.2025
PMiSCHALOTTE ,PMi,0.0,15.01.2025,,02.01.2025,15.01.2025
PMiZWIEBEL ,PMi,0.0,15.01.2025,04.02.2025,20.01.2025,15.01.2025
PSc,P,0.0,15.01.2025,28.01.2025,20.01.2025,15.01.2025
PScTOPINAMBUR ,PSc,0.0,15.01.2025,,20.01.2025,15.01.2025
PSt,P,0.0,15.01.2025,,20.01.2025,15.01.2025
PStKARTOFFEL ,PSt,10.0,15.01.2025,,02.01.2025,15.01.2025
PStSÜßKARTOFFEL ,PSt,4.0,15.01.2025,,20.01.2025,15.01.2025
